+----------------------------+--------------------------+-----------------------+---------------------------------------------------------------------------------------------------------+
|url_host_name               |url_host_registered_domain|url_host_private_domain|url_path                                                                                                 |
|karriere.asco-engineering.at|asco-engineering.at       |asco-engineering.at    |/job/view/837/modulleiter-antriebsstrang-m-w-d                                                           |
|karriere.asco-engineering.at|asco-engineering.at       |asco-engineering.at    |/job/view/839/support-mitarbeiter-produktions-it-m-w-d                                                   |
|karriere.asco-engineering.at|asco-engineering.at       |asco-engineering.at    |/job/view/842/basissoftwareentwickler-fuer-elektrische-antriebssysteme-m-w-d                             |
|karriere.asco-engineering.at|asco-engineering.at       |asco-engineering.at    |/job/view/843/aenderungsmanager-m-w-d                                                                    |
|karriere.asco-engineering.at|asco-engineering.at       |asco-engineering.at    |/job/view/844/industrial-engineer-npi-m-w-d                                                              |
|karriere.asco-engineering.at|asco-engineering.at       |asco-engineering.at    |/job/view/846/supplier-quality-engineer-im-bereich-elektrik-elektronik-und-mechatronik-m-w-d             |
|karriere.asco-engineering.at|asco-engineering.at       |asco-engineering.at    |/job/view/847/entwicklungsingenieur-elektrischer-antriebsstrang-hardware-m-w-d                           |
|karriere.asco-engineering.at|asco-engineering.at       |asco-engineering.at    |/job/view/848/entwicklungsingenieur-hv-ladesystem-m-w-d                                                  |
|karriere.asco-engineering.at|asco-engineering.at       |asco-engineering.at    |/job/view/849/versuchsingenieur-betriebsfestigkeitsdauerlauf-m-w-d                                       |
|karriere.asco-engineering.at|asco-engineering.at       |asco-engineering.at    |/job/view/850/hkls-konstrukteur-m-w-d                                                                    |
|karriere.asco-engineering.at|asco-engineering.at       |asco-engineering.at    |/job/view/852/projektingenieur-infotainment-m-w-d                                                        |
|karriere.asco-engineering.at|asco-engineering.at       |asco-engineering.at    |/job/view/853/projektmanager-fuer-den-bereich-rohbau-m-w-d                                               |
|karriere.asco-engineering.at|asco-engineering.at       |asco-engineering.at    |/job/view/854/cost-engineer-automotive-m-f-d                                                             |
|karriere.asco-engineering.at|asco-engineering.at       |asco-engineering.at    |/job/view/855/werkstudent-im-accounting-tz20-h-woche-m-w-d                                               |
